1	Piram
2	Makedah
3	Karnaim
4	Japhia
5	Azekah
6	Sansanah
7	Shilhim
8	Achshaph
9	Halek
10	Mizpeh
11	Arad
12	Damashek
13	Baal Gad
14	Merom
15	Beer Sheba
16	Hadasha
17	Zidon
18	Arnon
19	Hobah
20	Melech Elam
21	Telem
22	Dabasheth
23	Zemaraim
24	Idalah
25	Adumim
26	Anaharath
27	Jobab
28	Hazor
29	Rachab
30	Shemida
31	Anak
32	Hazar-Shual
33	Katzatz
34	Ziphim
35	Gezerin
36	Maaleh Accrabim
37	Zebdi
38	Lebaoth
39	Solymah
40	Shiloh
41	Zelah
42	Idalah-Abal
43	Sahar
44	Nimrah
45	Sharaim
46	Lebana
47	Socoh
48	Mahlah
49	Kanah
50	Timnah
51	Ashnah
52	Ai-Bel
53	Jair
54	Lachish
55	Debir
56	Gilgal
57	Tirzah
58	Adithaim
59	Zenan
60	Delin
61	Zelophehad
62	Gederah
63	Beeroth
64	Chakak
65	Midbar
66	Halom
67	Lakom
68	Netivot
69	Bith Aneth
70	Rokhev
71	Makom
72	Sheloshim
73	Yoreh
74	Sufah
75	Tahah
76	Hekhal
77	Barak
78	Janohah
79	Tzofeh
80	Peliyot
81	Derekh
82	Ratzah
83	Ravayah
84	Peleh
85	Gedilim
86	Paran
87	Avelut
88	Kilayim
89	Nevalah
90	Abidan
91	Nefesh
92	Chesed
93	Shear-Jashub
94	Pagiel
95	Zebachim
96	Nashon
97	Anakim
98	Hath-Arob
99	Tannaim
100	Karaim
101	Miktav
102	Bikkurim
103	Hashmal
104	Neshamah
105	Tiferet
106	Nevuah
107	Maskil
108	Kisofim
109	Nashim
110	Hafla'ah
111	Kefitsah
112	Mahshav
113	Mazal
114	Mayim
115	Shebuah
116	Mikreh
117	Zera'im
118	Shechem
119	Avodah
120	Nezikin
121	Shofetim
122	Halisah
123	Regalim
124	Ahavah
125	Shidim
126	Teqiah
127	Yechida
128	Mo'ed
129	Bacharach
130	Zemer
131	Tekufah
132	Gevurah
133	Terumah
134	Emunim
135	Shamor
136	Evel
137	Mishpatim
138	Shanim
139	Mochin
140	Amarim
141	Shevet
142	Taltalim
143	Vehuel
144	Zarach
145	Kedem
146	Otiot
147	Kodashim
148	Bahir
149	Ruach
150	Tohorot
151	Kinyan
152	Chayah
153	Laylah
154	Chorek
155	Sekudot
156	Berachah
157	Partzuf
158	Elilah
159	Abrakala
160	Ne'eman
161	Zemanim
162	Olamim
163	Abed-Nego
164	Meshakh
165	Shadrakh
166	Khebar
167	Shagal
168	Tzalim
169	Leshem
170	Lilin
171	Jachin
172	Tevel
173	Belimah
174	Tzaya
175	Eitan
176	Kadmut
177	Aravot
178	Malkhut
179	Segulah
180	Hodaah
181	Galgalim
182	Yesod
183	Zevul
184	Demai
185	Karet
186	Ner Tamid
187	Herem
188	Acharei Mot
189	Meholalot
190	Hamadah
191	Kedushah
192	Sa'arah
193	Moshav
194	Ebionim
195	Makkot
196	Kol Nidre
197	Taharah
198	Teli
199	Kivah
200	L'eitah
201	Yatzar
202	Sippur
203	Mispar
204	Livnat
205	Kochot
